problem opt_cost calc_cost
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3336
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3336
burma14.tsp 3323 3336
burma14.tsp 3323 3336
burma14.tsp 3323 3371
burma14.tsp 3323 3394
burma14.tsp 3323 3461
burma14.tsp 3323 3323
burma14.tsp 3323 3369
burma14.tsp 3323 3448
burma14.tsp 3323 3323
burma14.tsp 3323 3336
burma14.tsp 3323 3346
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3684
burma14.tsp 3323 3323
burma14.tsp 3323 3336
burma14.tsp 3323 3448
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3336
burma14.tsp 3323 3336
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3382
burma14.tsp 3323 3323
burma14.tsp 3323 3536
burma14.tsp 3323 3336
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3336
burma14.tsp 3323 3323
burma14.tsp 3323 3381
burma14.tsp 3323 3336
ulysses16.tsp 6859 6859
ulysses16.tsp 6859 6907
ulysses16.tsp 6859 6859
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6907
ulysses16.tsp 6859 6949
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6865
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6911
ulysses16.tsp 6859 6859
ulysses16.tsp 6859 6865
ulysses16.tsp 6859 7002
ulysses16.tsp 6859 6909
ulysses16.tsp 6859 6875
ulysses16.tsp 6859 6859
ulysses16.tsp 6859 6878
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6898
ulysses16.tsp 6859 6875
ulysses16.tsp 6859 7117
ulysses16.tsp 6859 6911
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6983
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6865
ulysses16.tsp 6859 6859
ulysses16.tsp 6859 6875
ulysses16.tsp 6859 6895
ulysses16.tsp 6859 6865
ulysses16.tsp 6859 6926
ulysses16.tsp 6859 6900
ulysses16.tsp 6859 6878
ulysses16.tsp 6859 6859
ulysses16.tsp 6859 6859
ulysses16.tsp 6859 6859
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6859
ulysses16.tsp 6859 6859
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6875
ulysses16.tsp 6859 6875
ulysses16.tsp 6859 6875
ulysses16.tsp 6859 6875
ulysses16.tsp 6859 6913
ulysses16.tsp 6859 6878
ulysses16.tsp 6859 6875
ulysses16.tsp 6859 6859
gr17.tsp 2085 2090
gr17.tsp 2085 2178
gr17.tsp 2085 2103
gr17.tsp 2085 2120
gr17.tsp 2085 2161
gr17.tsp 2085 2085
gr17.tsp 2085 2257
gr17.tsp 2085 2317
gr17.tsp 2085 2090
gr17.tsp 2085 2204
gr17.tsp 2085 2129
gr17.tsp 2085 2172
gr17.tsp 2085 2276
gr17.tsp 2085 2290
gr17.tsp 2085 2282
gr17.tsp 2085 2143
gr17.tsp 2085 2169
gr17.tsp 2085 2226
gr17.tsp 2085 2151
gr17.tsp 2085 2142
gr17.tsp 2085 2286
gr17.tsp 2085 2144
gr17.tsp 2085 2090
gr17.tsp 2085 2090
gr17.tsp 2085 2149
gr17.tsp 2085 2225
gr17.tsp 2085 2162
gr17.tsp 2085 2090
gr17.tsp 2085 2103
gr17.tsp 2085 2090
gr17.tsp 2085 2085
gr17.tsp 2085 2103
gr17.tsp 2085 2188
gr17.tsp 2085 2269
gr17.tsp 2085 2396
gr17.tsp 2085 2095
gr17.tsp 2085 2097
gr17.tsp 2085 2090
gr17.tsp 2085 2330
gr17.tsp 2085 2130
gr17.tsp 2085 2085
gr17.tsp 2085 2296
gr17.tsp 2085 2185
gr17.tsp 2085 2105
gr17.tsp 2085 2255
gr17.tsp 2085 2212
gr17.tsp 2085 2090
gr17.tsp 2085 2333
gr17.tsp 2085 2338
gr17.tsp 2085 2178
br17.atsp 39 92
br17.atsp 39 97
br17.atsp 39 45
br17.atsp 39 63
br17.atsp 39 73
br17.atsp 39 79
br17.atsp 39 47
br17.atsp 39 81
br17.atsp 39 70
br17.atsp 39 68
br17.atsp 39 55
br17.atsp 39 50
br17.atsp 39 72
br17.atsp 39 52
br17.atsp 39 73
br17.atsp 39 70
br17.atsp 39 61
br17.atsp 39 61
br17.atsp 39 66
br17.atsp 39 73
br17.atsp 39 77
br17.atsp 39 79
br17.atsp 39 89
br17.atsp 39 88
br17.atsp 39 65
br17.atsp 39 73
br17.atsp 39 57
br17.atsp 39 79
br17.atsp 39 85
br17.atsp 39 68
br17.atsp 39 70
br17.atsp 39 58
br17.atsp 39 64
br17.atsp 39 65
br17.atsp 39 63
br17.atsp 39 84
br17.atsp 39 86
br17.atsp 39 71
br17.atsp 39 77
br17.atsp 39 49
br17.atsp 39 92
br17.atsp 39 69
br17.atsp 39 57
br17.atsp 39 70
br17.atsp 39 69
br17.atsp 39 73
br17.atsp 39 72
br17.atsp 39 64
br17.atsp 39 69
br17.atsp 39 56
gr21.tsp 2707 3108
gr21.tsp 2707 2707
gr21.tsp 2707 2803
gr21.tsp 2707 2707
gr21.tsp 2707 2707
gr21.tsp 2707 2801
gr21.tsp 2707 2707
gr21.tsp 2707 2874
gr21.tsp 2707 2707
gr21.tsp 2707 2707
gr21.tsp 2707 2803
gr21.tsp 2707 2754
gr21.tsp 2707 2923
gr21.tsp 2707 3073
gr21.tsp 2707 2801
gr21.tsp 2707 2707
gr21.tsp 2707 2945
gr21.tsp 2707 2851
gr21.tsp 2707 2869
gr21.tsp 2707 2707
gr21.tsp 2707 2889
gr21.tsp 2707 2851
gr21.tsp 2707 2707
gr21.tsp 2707 2707
gr21.tsp 2707 2890
gr21.tsp 2707 2707
gr21.tsp 2707 2849
gr21.tsp 2707 2707
gr21.tsp 2707 2896
gr21.tsp 2707 2782
gr21.tsp 2707 2707
gr21.tsp 2707 3057
gr21.tsp 2707 2707
gr21.tsp 2707 2707
gr21.tsp 2707 2795
gr21.tsp 2707 3763
gr21.tsp 2707 2709
gr21.tsp 2707 2816
gr21.tsp 2707 2853
gr21.tsp 2707 2879
gr21.tsp 2707 2754
gr21.tsp 2707 2707
gr21.tsp 2707 2707
gr21.tsp 2707 2835
gr21.tsp 2707 2784
gr21.tsp 2707 3428
gr21.tsp 2707 2972
gr21.tsp 2707 2835
gr21.tsp 2707 2833
gr21.tsp 2707 2707
ulysses22.tsp 7013 7013
ulysses22.tsp 7013 7146
ulysses22.tsp 7013 7368
ulysses22.tsp 7013 7059
ulysses22.tsp 7013 7114
ulysses22.tsp 7013 7312
ulysses22.tsp 7013 7092
ulysses22.tsp 7013 7403
ulysses22.tsp 7013 7408
ulysses22.tsp 7013 7100
ulysses22.tsp 7013 7231
ulysses22.tsp 7013 7092
ulysses22.tsp 7013 7354
ulysses22.tsp 7013 7114
ulysses22.tsp 7013 7324
ulysses22.tsp 7013 7058
ulysses22.tsp 7013 7100
ulysses22.tsp 7013 7019
ulysses22.tsp 7013 7105
ulysses22.tsp 7013 7019
ulysses22.tsp 7013 7326
ulysses22.tsp 7013 7163
ulysses22.tsp 7013 7117
ulysses22.tsp 7013 7273
ulysses22.tsp 7013 7093
ulysses22.tsp 7013 7210
ulysses22.tsp 7013 7013
ulysses22.tsp 7013 7123
ulysses22.tsp 7013 7146
ulysses22.tsp 7013 7366
ulysses22.tsp 7013 7213
ulysses22.tsp 7013 7013
ulysses22.tsp 7013 7100
ulysses22.tsp 7013 7421
ulysses22.tsp 7013 7123
ulysses22.tsp 7013 7114
ulysses22.tsp 7013 7130
ulysses22.tsp 7013 7195
ulysses22.tsp 7013 7222
ulysses22.tsp 7013 7046
ulysses22.tsp 7013 7013
ulysses22.tsp 7013 7294
ulysses22.tsp 7013 7238
ulysses22.tsp 7013 7036
ulysses22.tsp 7013 7100
ulysses22.tsp 7013 7156
ulysses22.tsp 7013 7029
ulysses22.tsp 7013 7154
ulysses22.tsp 7013 7239
ulysses22.tsp 7013 7019
gr24.tsp 1272 1782
gr24.tsp 1272 1858
gr24.tsp 1272 1317
gr24.tsp 1272 1290
gr24.tsp 1272 1272
gr24.tsp 1272 1317
gr24.tsp 1272 1326
gr24.tsp 1272 1278
gr24.tsp 1272 1563
gr24.tsp 1272 1391
gr24.tsp 1272 1300
gr24.tsp 1272 1454
gr24.tsp 1272 1507
gr24.tsp 1272 1289
gr24.tsp 1272 1710
gr24.tsp 1272 1746
gr24.tsp 1272 1272
gr24.tsp 1272 1850
gr24.tsp 1272 1729
gr24.tsp 1272 1324
gr24.tsp 1272 1283
gr24.tsp 1272 1360
gr24.tsp 1272 1357
