problem opt_cost calc_cost
burma14.tsp 3323 3323
burma14.tsp 3323 3336
burma14.tsp 3323 3336
burma14.tsp 3323 3336
burma14.tsp 3323 3323
burma14.tsp 3323 3336
burma14.tsp 3323 3336
burma14.tsp 3323 3323
burma14.tsp 3323 3336
burma14.tsp 3323 3336
burma14.tsp 3323 3336
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3336
burma14.tsp 3323 3336
burma14.tsp 3323 3323
burma14.tsp 3323 3336
burma14.tsp 3323 3323
burma14.tsp 3323 3336
burma14.tsp 3323 3336
burma14.tsp 3323 3336
burma14.tsp 3323 3336
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3336
burma14.tsp 3323 3323
burma14.tsp 3323 3336
burma14.tsp 3323 3336
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3336
burma14.tsp 3323 3455
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3448
burma14.tsp 3323 3448
burma14.tsp 3323 3448
burma14.tsp 3323 3323
burma14.tsp 3323 3336
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3323
burma14.tsp 3323 3448
burma14.tsp 3323 3323
burma14.tsp 3323 3371
burma14.tsp 3323 3448
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6859
ulysses16.tsp 6859 6890
ulysses16.tsp 6859 6878
ulysses16.tsp 6859 7166
ulysses16.tsp 6859 6895
ulysses16.tsp 6859 6859
ulysses16.tsp 6859 6875
ulysses16.tsp 6859 6859
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6875
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6974
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6913
ulysses16.tsp 6859 6941
ulysses16.tsp 6859 7054
ulysses16.tsp 6859 6875
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6878
ulysses16.tsp 6859 6890
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6875
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6875
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6859
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6875
ulysses16.tsp 6859 6911
ulysses16.tsp 6859 6859
ulysses16.tsp 6859 6875
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6875
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6859
ulysses16.tsp 6859 6859
ulysses16.tsp 6859 6890
ulysses16.tsp 6859 6870
ulysses16.tsp 6859 6941
ulysses16.tsp 6859 6930
ulysses16.tsp 6859 6875
ulysses16.tsp 6859 6909
ulysses16.tsp 6859 6909
ulysses16.tsp 6859 6875
gr17.tsp 2085 2090
gr17.tsp 2085 2090
gr17.tsp 2085 2095
gr17.tsp 2085 2142
gr17.tsp 2085 2090
gr17.tsp 2085 2090
gr17.tsp 2085 2153
gr17.tsp 2085 2156
gr17.tsp 2085 2090
gr17.tsp 2085 2088
gr17.tsp 2085 2085
gr17.tsp 2085 2090
gr17.tsp 2085 2090
gr17.tsp 2085 2090
gr17.tsp 2085 2090
gr17.tsp 2085 2090
gr17.tsp 2085 2085
gr17.tsp 2085 2250
gr17.tsp 2085 2090
gr17.tsp 2085 2090
gr17.tsp 2085 2142
gr17.tsp 2085 2090
gr17.tsp 2085 2090
gr17.tsp 2085 2090
gr17.tsp 2085 2090
gr17.tsp 2085 2090
gr17.tsp 2085 2163
gr17.tsp 2085 2153
gr17.tsp 2085 2090
gr17.tsp 2085 2090
gr17.tsp 2085 2090
gr17.tsp 2085 2090
gr17.tsp 2085 2090
gr17.tsp 2085 2090
gr17.tsp 2085 2090
gr17.tsp 2085 2192
gr17.tsp 2085 2088
gr17.tsp 2085 2090
gr17.tsp 2085 2090
gr17.tsp 2085 2090
gr17.tsp 2085 2132
gr17.tsp 2085 2104
gr17.tsp 2085 2090
gr17.tsp 2085 2104
gr17.tsp 2085 2090
gr17.tsp 2085 2090
gr17.tsp 2085 2085
gr17.tsp 2085 2090
gr17.tsp 2085 2090
gr17.tsp 2085 2085
br17.atsp 39 39
br17.atsp 39 41
br17.atsp 39 39
br17.atsp 39 52
br17.atsp 39 42
br17.atsp 39 76
br17.atsp 39 39
br17.atsp 39 39
br17.atsp 39 74
br17.atsp 39 62
br17.atsp 39 39
br17.atsp 39 61
br17.atsp 39 40
br17.atsp 39 70
br17.atsp 39 39
br17.atsp 39 40
br17.atsp 39 46
br17.atsp 39 39
br17.atsp 39 52
br17.atsp 39 46
br17.atsp 39 63
br17.atsp 39 86
br17.atsp 39 39
br17.atsp 39 42
br17.atsp 39 39
br17.atsp 39 47
br17.atsp 39 39
